train_loss          ,train_acc           ,test_acc           ,val_acc
1.4083633224169414  , 35.774647887323944 ,34.69387755102041  ,35.714285714285715
1.374448537826538   , 35.774647887323944 ,34.69387755102041  ,35.714285714285715
1.359290103117625   , 35.774647887323944 ,34.69387755102041  ,35.714285714285715
1.3447126150131226  , 35.49295774647887  ,36.734693877551024 ,33.333333333333336
1.3236403067906697  , 35.774647887323944 ,34.69387755102041  ,35.714285714285715
1.2980592846870422  , 36.61971830985915  ,34.69387755102041  ,38.095238095238095
1.2714688579241435  , 40.28169014084507  ,38.775510204081634 ,38.095238095238095
1.2500166098276775  , 38.309859154929576 ,34.69387755102041  ,38.095238095238095
1.221095581849416   , 38.59154929577465  ,34.69387755102041  ,33.333333333333336
1.196110486984253   , 43.943661971830984 ,36.734693877551024 ,38.095238095238095
1.1654535134633381  , 43.943661971830984 ,40.816326530612244 ,35.714285714285715
1.1396801471710205  , 46.76056338028169  ,38.775510204081634 ,35.714285714285715
1.1223413348197937  , 48.16901408450704  ,46.93877551020408  ,38.095238095238095
1.0957037806510925  , 50.985915492957744 ,42.857142857142854 ,38.095238095238095
1.0832649270693462  , 49.29577464788732  ,40.816326530612244 ,35.714285714285715
1.037310779094696   , 70.14084507042253  ,46.93877551020408  ,40.476190476190474
1.002416044473648   , 62.816901408450704 ,44.89795918367347  ,40.476190476190474
0.9752082526683807  , 61.690140845070424 ,44.89795918367347  ,38.095238095238095
0.9384245971838633  , 73.2394366197183   ,42.857142857142854 ,40.476190476190474
0.9196688334147135  , 63.38028169014085  ,46.93877551020408  ,42.857142857142854
0.8754272560278574  , 78.87323943661971  ,53.06122448979592  ,42.857142857142854
0.8363248904546102  , 85.63380281690141  ,46.93877551020408  ,38.095238095238095
0.7937873403231303  , 86.47887323943662  ,48.97959183673469  ,42.857142857142854
0.7594032883644104  , 86.7605633802817   ,51.02040816326531  ,40.476190476190474
0.733386367559433   , 92.11267605633803  ,46.93877551020408  ,45.23809523809524
0.6888863444328308  , 90.98591549295774  ,51.02040816326531  ,42.857142857142854
0.6387837628523508  , 92.95774647887323  ,51.02040816326531  ,42.857142857142854
0.5960510869820913  , 98.59154929577464  ,51.02040816326531  ,38.095238095238095
0.5647669037183126  , 98.30985915492958  ,46.93877551020408  ,42.857142857142854
0.5229932963848114  , 99.43661971830986  ,46.93877551020408  ,42.857142857142854
0.481585090359052   , 99.43661971830986  ,44.89795918367347  ,40.476190476190474
0.44536298016707104 ,100.0               ,46.93877551020408  ,42.857142857142854
0.39260803163051605 ,100.0               ,46.93877551020408  ,47.61904761904762
0.3909415702025096  ,100.0               ,51.02040816326531  ,38.095238095238095
0.32881010075410205 , 99.71830985915493  ,48.97959183673469  ,50.0
0.2963591019312541  ,100.0               ,46.93877551020408  ,47.61904761904762
0.2678757558266322  ,100.0               ,51.02040816326531  ,45.23809523809524
0.24033661931753159 ,100.0               ,46.93877551020408  ,54.76190476190476
0.22017216682434082 ,100.0               ,48.97959183673469  ,45.23809523809524
0.19211327781279883 ,100.0               ,46.93877551020408  ,45.23809523809524
0.16852835565805435 ,100.0               ,51.02040816326531  ,47.61904761904762
0.152447909116745   ,100.0               ,51.02040816326531  ,50.0
0.15682073682546616 ,100.0               ,46.93877551020408  ,52.38095238095238
0.13117752224206924 ,100.0               ,53.06122448979592  ,47.61904761904762
0.11849642917513847 ,100.0               ,46.93877551020408  ,50.0
0.09840047359466553 ,100.0               ,46.93877551020408  ,50.0
0.09429239357511203 ,100.0               ,46.93877551020408  ,50.0
0.08984368046124776 ,100.0               ,46.93877551020408  ,52.38095238095238
0.07516849413514137 ,100.0               ,46.93877551020408  ,50.0
0.06724159543712933 ,100.0               ,46.93877551020408  ,47.61904761904762
